Year,Month,Temperature,Anomaly
1940,1,-7.500,0.316
1940,2,-7.900,-0.384
1940,3,-1.700,0.904
1940,4,2.900,-1.768
1940,5,9.300,-1.308
1940,6,10.800,-3.442
1940,7,17.400,-1.008
1940,8,20.200,0.407
1940,9,14.400,-1.770
1940,10,10.200,0.626
1940,11,4.000,1.775
1940,12,-1.300,2.608
1941,1,-6.000,1.816
1941,2,-7.100,0.416
1941,3,-2.900,-0.296
1941,4,3.200,-1.468
1941,5,8.000,-2.608
1941,6,12.300,-1.942
1941,7,12.800,-5.608
1941,8,15.800,-3.993
1941,9,15.400,-0.770
1941,10,9.900,0.326
1941,11,3.400,1.175
1941,12,-2.900,1.008
1942,1,-8.800,-0.984
1942,2,-9.700,-2.184
1942,3,-1.800,0.804
1942,4,4.200,-0.468
1942,5,7.800,-2.808
1942,6,12.100,-2.142
1942,7,17.800,-0.608
1942,8,17.700,-2.093
1942,9,15.300,-0.870
1942,10,9.500,-0.074
1942,11,3.400,1.175
1942,12,-3.400,0.508
1943,1,-5.200,2.616
1943,2,-7.400,0.116
1943,3,-3.400,-0.796
1943,4,2.600,-2.068
1943,5,6.400,-4.208
1943,6,13.700,-0.542
1943,7,20.600,2.192
1943,8,21.700,1.907
1943,9,16.600,0.430
1943,10,10.600,1.026
1943,11,1.700,-0.525
1943,12,-3.500,0.408
1944,1,-8.900,-1.084
1944,2,-9.400,-1.884
1944,3,-3.600,-0.996
1944,4,0.700,-3.968
1944,5,9.300,-1.308
1944,6,14.200,-0.042
1944,7,19.700,1.292
1944,8,21.400,1.607
1944,9,16.400,0.230
1944,10,10.100,0.526
1944,11,2.000,-0.225
1944,12,-6.600,-2.692
1945,1,-9.000,-1.184
1945,2,-8.500,-0.984
1945,3,-2.700,-0.096
1945,4,4.600,-0.068
1945,5,6.200,-4.408
1945,6,11.600,-2.642
1945,7,13.300,-5.108
1945,8,19.100,-0.693
1945,9,15.100,-1.070
1945,10,10.000,0.426
1945,11,3.800,1.575
1945,12,-4.600,-0.692
1946,1,-7.500,0.316
1946,2,-7.500,0.016
1946,3,-4.300,-1.696
1946,4,5.000,0.332
1946,5,7.100,-3.508
1946,6,15.300,1.058
1946,7,18.700,0.292
1946,8,22.400,2.607
1946,9,16.400,0.230
1946,10,11.300,1.726
1946,11,4.400,2.175
1946,12,-2.900,1.008
1947,1,-5.200,2.616
1947,2,-7.100,0.416
1947,3,-4.100,-1.496
1947,4,3.700,-0.968
1947,5,8.400,-2.208
1947,6,11.100,-3.142
1947,7,18.000,-0.408
1947,8,19.200,-0.593
1947,9,14.600,-1.570
1947,10,9.100,-0.474
1947,11,2.000,-0.225
1947,12,-5.300,-1.392
1948,1,-3.900,3.916
1948,2,-6.400,1.116
1948,3,-2.600,0.004
1948,4,5.700,1.032
1948,5,12.000,1.392
1948,6,13.100,-1.142
1948,7,17.000,-1.408
1948,8,21.400,1.607
1948,9,16.000,-0.170
1948,10,10.400,0.826
1948,11,2.900,0.675
1948,12,-1.300,2.608
1949,1,-3.100,4.716
1949,2,-3.700,3.816
1949,3,-5.000,-2.396
1949,4,0.700,-3.968
1949,5,10.400,-0.208
1949,6,11.300,-2.942
1949,7,17.000,-1.408
1949,8,20.700,0.907
1949,9,16.700,0.530
1949,10,9.800,0.226
1949,11,2.300,0.075
1949,12,-4.300,-0.392
1950,1,-6.600,1.216
1950,2,-5.500,2.016
1950,3,-2.400,0.204
1950,4,3.100,-1.568
1950,5,10.600,-0.008
1950,6,13.900,-0.342
1950,7,20.200,1.792
1950,8,21.900,2.107
1950,9,15.900,-0.270
1950,10,8.600,-0.974
1950,11,3.500,1.275
1950,12,-3.000,0.908
1951,1,-8.347,-0.531
1951,2,-9.063,-1.546
1951,3,-2.245,0.359
1951,4,4.218,-0.450
1951,5,10.771,0.163
1951,6,12.858,-1.384
1951,7,17.318,-1.090
1951,8,23.061,3.269
1951,9,15.415,-0.755
1951,10,10.073,0.499
1951,11,3.362,1.137
1951,12,-1.087,2.821
1952,1,-6.211,1.604
1952,2,-8.671,-1.155
1952,3,-3.502,-0.898
1952,4,4.567,-0.102
1952,5,9.416,-1.192
1952,6,13.655,-0.587
1952,7,17.437,-0.971
1952,8,18.800,-0.993
1952,9,16.538,0.368
1952,10,11.235,1.662
1952,11,0.988,-1.237
1952,12,-6.955,-3.047
1953,1,-8.655,-0.839
1953,2,-9.871,-2.355
1953,3,-1.974,0.630
1953,4,3.098,-1.570
1953,5,7.385,-3.223
1953,6,11.280,-2.962
1953,7,17.305,-1.103
1953,8,18.326,-1.467
1953,9,16.948,0.778
1953,10,10.889,1.315
1953,11,-0.883,-3.108
1953,12,-2.806,1.102
1954,1,-7.424,0.391
1954,2,-5.016,2.500
1954,3,-3.300,-0.696
1954,4,4.747,0.078
1954,5,8.592,-2.016
1954,6,10.852,-3.390
1954,7,13.544,-4.864
1954,8,17.345,-2.447
1954,9,17.262,1.092
1954,10,9.235,-0.338
1954,11,2.792,0.567
1954,12,-1.023,2.886
1955,1,-7.934,-0.118
1955,2,-5.943,1.573
1955,3,-1.547,1.057
1955,4,5.228,0.560
1955,5,7.405,-3.203
1955,6,13.462,-0.780
1955,7,21.639,3.231
1955,8,19.769,-0.023
1955,9,14.603,-1.567
1955,10,10.821,1.247
1955,11,3.877,1.652
1955,12,-0.744,3.165
1956,1,-6.445,1.370
1956,2,-5.786,1.730
1956,3,-3.152,-0.548
1956,4,4.762,0.093
1956,5,13.571,2.963
1956,6,12.185,-2.057
1956,7,14.360,-4.048
1956,8,16.653,-3.139
1956,9,17.412,1.242
1956,10,11.858,2.284
1956,11,4.028,1.803
1956,12,-3.940,-0.032
1957,1,-5.619,2.196
1957,2,-5.973,1.543
1957,3,-4.369,-1.766
1957,4,5.295,0.627
1957,5,9.931,-0.677
1957,6,11.722,-2.520
1957,7,17.168,-1.240
1957,8,18.719,-1.073
1957,9,15.033,-1.137
1957,10,10.865,1.291
1957,11,5.327,3.102
1957,12,-1.611,2.297
1958,1,-5.548,2.267
1958,2,-5.709,1.807
1958,3,-2.848,-0.245
1958,4,4.400,-0.268
1958,5,8.706,-1.902
1958,6,13.542,-0.700
1958,7,17.660,-0.748
1958,8,18.727,-1.065
1958,9,16.228,0.058
1958,10,10.203,0.630
1958,11,4.180,1.955
1958,12,-1.089,2.820
1959,1,-7.073,0.743
1959,2,-4.779,2.738
1959,3,-1.213,1.391
1959,4,7.272,2.603
1959,5,10.094,-0.514
1959,6,12.843,-1.399
1959,7,18.724,0.316
1959,8,18.029,-1.764
1959,9,15.820,-0.350
1959,10,11.195,1.622
1959,11,2.985,0.760
1959,12,-3.197,0.711
1960,1,-8.047,-0.231
1960,2,-6.243,1.273
1960,3,-2.656,-0.053
1960,4,2.797,-1.872
1960,5,8.529,-2.079
1960,6,12.015,-2.227
1960,7,16.673,-1.735
1960,8,21.445,1.653
1960,9,17.950,1.780
1960,10,9.640,0.067
1960,11,3.528,1.303
1960,12,-3.892,0.016
1961,1,-9.274,-1.459
1961,2,-7.227,0.289
1961,3,-2.387,0.217
1961,4,6.628,1.960
1961,5,10.505,-0.103
1961,6,15.147,0.905
1961,7,20.426,2.018
1961,8,20.079,0.286
1961,9,19.177,3.007
1961,10,10.306,0.733
1961,11,4.062,1.837
1961,12,-1.521,2.387
1962,1,-5.169,2.646
1962,2,-7.355,0.161
1962,3,-3.053,-0.449
1962,4,7.027,2.358
1962,5,10.632,0.024
1962,6,13.570,-0.672
1962,7,17.568,-0.840
1962,8,18.169,-1.623
1962,9,16.620,0.450
