Identifiant;Commémoré;Adresse complète;Précision adresse;Code postal;xy
608.0;Eleves de ces ecoles morts en déportation parce que nés juifs;40 rue des meuniers 75012 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75012.0;48.834878, 2.396294
628.0;Célestino ALFONSO;16, rue de Tolbiac 75013 Paris;NULL;75013.0;48.829629, 2.374815
654.0;ENFANTS D'IZIEU;Place des 44 enfants d'Izieu 75013 Paris;NULL;75013.0;48.82155, 2.35628
687.0;Camille PEYROT;73, avenue d'Italie 75013 Paris;NULL;75013.0;48.825185, 2.357628
708.0;Eleves de ces ecoles morts en déportation parce que nés juifs;Collège 18 rue Moulin des Prés 75013 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75013.0;48.828778, 2.352712
713.0;Eleves de ces ecoles morts en déportation parce que nés juifs;16 rue Wurtz 75013 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75013.0;48.826924, 2.344612
811.0;Robert PAVARD;167, rue Saint-Charles 75015 Paris;NULL;75015.0;48.841881, 2.2815630000000002
817.0;Jean-louis SUCHET;93, rue du Commerce 75015 Paris;NULL;75015.0;48.843973, 2.293365
833.0;Pierre BROSSOLETTE;77 bis, rue Michel-Ange 75016 Paris;NULL;75016.0;48.842048, 2.259458
982.0;Eleves de ces ecoles morts en déportation parce que nés juifs;29 rue Marcadet 75018 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75018.0;48.890331, 2.352799
1102.0;René BILLOT;92, rue Pelleport 75020 Paris;NULL;75020.0;48.868204, 2.40167
263.0;Gustave BAULIN;27, boulevard de la Tour-Maubourg 75007 Paris;NULL;75007.0;48.859789, 2.310351
311.0;Simon ROCH;2, rue Saint-Dominique 75007 Paris;NULL;75007.0;48.859227, 2.309565
437.0;André Et Emilienne PICOUT;41, rue des Vinaigriers 75010 Paris;NULL;75010.0;48.873116, 2.361198
463.0;Eleves de ces ecoles morts en déportation parce que nés juifs;39/41 rue Chabrol 75010 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75010.0;48.876811000000004, 2.353001
